date,hour_ini,kp,sun_spot_norm
2016-01-16,3.0,1.0,0.1833333333333333
2016-01-16,6.0,0.667,0.1833333333333333
2016-01-16,9.0,1.333,0.1833333333333333
2016-01-16,12.0,1.0,0.1833333333333333
2016-01-16,15.0,0.333,0.1833333333333333
2016-01-16,18.0,0.333,0.1833333333333333
2016-01-16,21.0,0.333,0.1833333333333333
2016-01-17,0.0,0.333,0.2416666666666666
2016-01-17,3.0,0.0,0.2416666666666666
2016-01-17,6.0,1.333,0.2416666666666666
2016-01-17,9.0,0.667,0.2416666666666666
2016-01-17,12.0,1.0,0.2416666666666666
2016-01-17,15.0,1.0,0.2416666666666666
2016-01-17,18.0,0.667,0.2416666666666666
2016-01-17,21.0,0.333,0.2416666666666666
2016-01-18,0.0,0.0,0.225
2016-01-18,3.0,0.0,0.225
2016-01-18,6.0,0.0,0.225
2016-01-18,9.0,0.333,0.225
2016-01-18,12.0,1.0,0.225
2016-01-18,15.0,1.667,0.225
2016-01-18,18.0,0.667,0.225
2016-01-18,21.0,3.0,0.225
2016-01-19,0.0,4.333,0.275
2016-01-19,3.0,2.667,0.275
2016-01-19,6.0,2.333,0.275
2016-01-19,9.0,2.667,0.275
2016-01-19,12.0,1.333,0.275
2016-01-19,15.0,1.333,0.275
2016-01-19,18.0,0.333,0.275
2016-01-19,21.0,1.0,0.275
2016-01-20,0.0,0.333,0.2583333333333333
2016-01-20,3.0,2.0,0.2583333333333333
2016-01-20,6.0,3.333,0.2583333333333333
2016-01-20,9.0,4.333,0.2583333333333333
2016-01-20,12.0,4.667,0.2583333333333333
2016-01-20,15.0,4.667,0.2583333333333333
2016-01-20,18.0,4.667,0.2583333333333333
2016-01-20,21.0,4.333,0.2583333333333333
2016-01-21,0.0,3.667,0.2666666666666666
2016-01-21,3.0,5.667,0.2666666666666666
2016-01-21,6.0,5.333,0.2666666666666666
2016-01-21,9.0,3.333,0.2666666666666666
2016-01-21,12.0,2.667,0.2666666666666666
2016-01-21,15.0,3.667,0.2666666666666666
2016-01-21,18.0,4.0,0.2666666666666666
2016-01-21,21.0,4.667,0.2666666666666666
2016-01-22,0.0,3.333,0.2791666666666667
2016-01-22,3.0,3.333,0.2791666666666667
2016-01-22,6.0,3.333,0.2791666666666667
2016-01-22,9.0,3.0,0.2791666666666667
2016-01-22,12.0,2.333,0.2791666666666667
2016-01-22,15.0,1.667,0.2791666666666667
2016-01-22,18.0,2.667,0.2791666666666667
2016-01-22,21.0,2.333,0.2791666666666667
2016-01-23,0.0,1.333,0.2625
2016-01-23,3.0,3.333,0.2625
2016-01-23,6.0,3.667,0.2625
2016-01-23,9.0,2.0,0.2625
2016-01-23,12.0,3.0,0.2625
2016-01-23,15.0,2.667,0.2625
2016-01-23,18.0,1.667,0.2625
2016-01-23,21.0,1.333,0.2625
2016-01-24,0.0,2.667,0.2
2016-01-24,3.0,2.333,0.2
2016-01-24,6.0,1.667,0.2
2016-01-24,9.0,1.0,0.2
2016-01-24,12.0,1.333,0.2
2016-01-24,15.0,2.333,0.2
2016-01-24,18.0,4.0,0.2
2016-01-24,21.0,1.0,0.2
2016-01-25,0.0,0.333,0.2791666666666667
2016-01-25,3.0,0.333,0.2791666666666667
2016-01-25,6.0,0.667,0.2791666666666667
2016-01-25,9.0,0.333,0.2791666666666667
2016-01-25,12.0,0.333,0.2791666666666667
2016-01-25,15.0,0.333,0.2791666666666667
2016-01-25,18.0,0.0,0.2791666666666667
2016-01-25,21.0,0.0,0.2791666666666667
2016-01-26,0.0,0.0,0.2875
2016-01-26,3.0,0.0,0.2875
2016-01-26,6.0,0.667,0.2875
2016-01-26,9.0,1.0,0.2875
2016-01-26,12.0,1.0,0.2875
2016-01-26,15.0,1.333,0.2875
2016-01-26,18.0,1.667,0.2875
2016-01-26,21.0,1.0,0.2875
2016-01-27,0.0,1.0,0.3458333333333333
2016-01-27,3.0,2.0,0.3458333333333333
2016-01-27,6.0,1.0,0.3458333333333333
2016-01-27,9.0,1.333,0.3458333333333333
2016-01-27,12.0,1.0,0.3458333333333333
2016-01-27,15.0,0.667,0.3458333333333333
2016-01-27,18.0,0.0,0.3458333333333333
2016-01-27,21.0,0.333,0.3458333333333333
2016-01-28,0.0,0.333,0.3208333333333333
2016-01-28,3.0,0.0,0.3208333333333333
2016-01-28,6.0,2.333,0.3208333333333333
2016-01-28,9.0,2.333,0.3208333333333333
2016-01-28,12.0,1.0,0.3208333333333333
2016-01-28,15.0,1.0,0.3208333333333333
2016-01-28,18.0,0.667,0.3208333333333333
2016-01-28,21.0,0.667,0.3208333333333333
2016-01-29,0.0,0.333,0.2666666666666666
2016-01-29,3.0,0.667,0.2666666666666666
2016-01-29,6.0,0.667,0.2666666666666666
2016-01-29,9.0,0.667,0.2666666666666666
2016-01-29,12.0,0.667,0.2666666666666666
2016-01-29,15.0,0.667,0.2666666666666666
2016-01-29,18.0,0.333,0.2666666666666666
2016-01-29,21.0,0.667,0.2666666666666666
2016-01-30,0.0,0.333,0.15
2016-01-30,3.0,0.0,0.15
2016-01-30,6.0,0.333,0.15
2016-01-30,9.0,0.333,0.15
2016-01-30,12.0,0.333,0.15
