date,sun_spot_norm
2016-01-01,0.15416666666666667
2016-01-02,0.16666666666666666
2016-01-03,0.2125
2016-01-04,0.2916666666666667
2016-01-05,0.14583333333333334
2016-01-06,0.12916666666666665
2016-01-07,0.25416666666666665
2016-01-08,0.35833333333333334
2016-01-09,0.4041666666666667
2016-01-10,0.375
2016-01-11,0.19583333333333333
2016-01-12,0.16666666666666666
2016-01-13,0.15833333333333333
2016-01-14,0.17083333333333334
2016-01-15,0.1875
2016-01-16,0.18333333333333332
2016-01-17,0.24166666666666667
2016-01-18,0.225
2016-01-19,0.275
2016-01-20,0.2583333333333333
2016-01-21,0.26666666666666666
2016-01-22,0.2791666666666667
2016-01-23,0.2625
2016-01-24,0.2
2016-01-25,0.2791666666666667
2016-01-26,0.2875
2016-01-27,0.3458333333333333
2016-01-28,0.3208333333333333
2016-01-29,0.26666666666666666
2016-01-30,0.15
2016-01-31,0.14583333333333334
2016-02-01,0.18333333333333332
2016-02-02,0.21666666666666667
2016-02-03,0.3458333333333333
2016-02-04,0.45
2016-02-05,0.42916666666666664
2016-02-06,0.32916666666666666
2016-02-07,0.37083333333333335
2016-02-08,0.37083333333333335
2016-02-09,0.35
2016-02-10,0.3125
2016-02-11,0.3541666666666667
2016-02-12,0.2625
2016-02-13,0.15833333333333333
2016-02-14,0.19166666666666665
2016-02-15,0.20833333333333334
2016-02-16,0.175
2016-02-17,0.15833333333333333
2016-02-18,0.15
2016-02-19,0.19166666666666665
2016-02-20,0.21666666666666667
2016-02-21,0.19583333333333333
2016-02-22,0.14166666666666666
2016-02-23,0.15416666666666667
2016-02-24,0.14166666666666666
2016-02-25,0.10833333333333334
2016-02-26,0.2
2016-02-27,0.10833333333333334
2016-02-28,0.15
2016-02-29,0.1875
2016-03-01,0.2833333333333333
2016-03-02,0.325
2016-03-03,0.3208333333333333
2016-03-04,0.46249999999999997
2016-03-05,0.3458333333333333
2016-03-06,0.325
2016-03-07,0.32916666666666666
2016-03-08,0.2625
2016-03-09,0.37916666666666665
2016-03-10,0.3333333333333333
2016-03-11,0.2125
2016-03-12,0.2916666666666667
2016-03-13,0.2375
2016-03-14,0.2916666666666667
2016-03-15,0.24583333333333332
2016-03-16,0.32916666666666666
2016-03-17,0.3
2016-03-18,0.19583333333333333
2016-03-19,0.15416666666666667
2016-03-20,0.15
2016-03-21,0.1375
2016-03-22,0.08333333333333333
2016-03-23,0.0875
2016-03-24,0.14583333333333334
2016-03-25,0.14166666666666666
2016-03-26,0.13333333333333333
2016-03-27,0.13333333333333333
2016-03-28,0.125
2016-03-29,0.08333333333333333
2016-03-30,0.07083333333333333
2016-03-31,0.06666666666666667
2016-04-01,0.05
2016-04-02,0.05
2016-04-03,0.05
2016-04-04,0.16666666666666666
2016-04-05,0.1375
2016-04-06,0.08333333333333333
2016-04-07,0.075
2016-04-08,0.10833333333333334
2016-04-09,0.10416666666666667
2016-04-10,0.14166666666666666
2016-04-11,0.17916666666666667
2016-04-12,0.15416666666666667
2016-04-13,0.2
2016-04-14,0.19166666666666665
2016-04-15,0.1375
2016-04-16,0.175
2016-04-17,0.15
2016-04-18,0.12916666666666665
2016-04-19,0.11666666666666667
2016-04-20,0.10416666666666667
2016-04-21,0.10833333333333334
2016-04-22,0.0875
2016-04-23,0.05416666666666667
2016-04-24,0.15416666666666667
2016-04-25,0.1875
2016-04-26,0.2375
2016-04-27,0.31666666666666665
2016-04-28,0.375
2016-04-29,0.3416666666666667
2016-04-30,0.37083333333333335
2016-05-01,0.3625
2016-05-02,0.3458333333333333
2016-05-03,0.30416666666666664
2016-05-04,0.29583333333333334
2016-05-05,0.25
2016-05-06,0.2375
2016-05-07,0.14166666666666666
2016-05-08,0.18333333333333332
2016-05-09,0.21666666666666667
2016-05-10,0.31666666666666665
2016-05-11,0.32916666666666666
2016-05-12,0.3458333333333333
2016-05-13,0.325
2016-05-14,0.36666666666666664
2016-05-15,0.3625
2016-05-16,0.22916666666666666
2016-05-17,0.15833333333333333
2016-05-18,0.125
2016-05-19,0.17916666666666667
2016-05-20,0.19166666666666665
2016-05-21,0.075
2016-05-22,0.11666666666666667
2016-05-23,0.06666666666666667
2016-05-24,0.10416666666666667
2016-05-25,0.14583333333333334
2016-05-26,0.14166666666666666
2016-05-27,0.14166666666666666
2016-05-28,0.1375
2016-05-29,0.1375
2016-05-30,0.17083333333333334
2016-05-31,0.15
2016-06-01,0.17083333333333334
2016-06-02,0.058333333333333334
2016-06-03,0.0
2016-06-04,0.041666666666666664
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.05
2016-06-08,0.058333333333333334
2016-06-09,0.07916666666666666
2016-06-10,0.1375
2016-06-11,0.18333333333333332
2016-06-12,0.175
2016-06-13,0.15833333333333333
2016-06-14,0.15833333333333333
2016-06-15,0.16666666666666666
2016-06-16,0.11666666666666667
2016-06-17,0.1625
2016-06-18,0.19583333333333333
2016-06-19,0.20833333333333334
2016-06-20,0.15
2016-06-21,0.1
2016-06-22,0.09583333333333333
2016-06-23,0.05
2016-06-24,0.05
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.04583333333333333
2016-07-03,0.07916666666666666
2016-07-04,0.0
2016-07-05,0.05416666666666667
2016-07-06,0.05416666666666667
2016-07-07,0.10416666666666667
